"dataset_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","trim_margin_each_edge_in","kerf_in","nominal_sheet_length_in","nominal_sheet_width_in","usable_sheet_length_in","usable_sheet_width_in","orientation_mode","estimated_sheets","usable_area_yield_pct","usable_area_waste_pct","rejected_piece_count","complete_layout","source_template_url"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.1875","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.1875","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.25","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.25","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.03125","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.03125","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.0625","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.0625","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.09375","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.09375","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.125","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.125","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.1875","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.1875","96","48","95.75","47.75","orientation_locked","2","37.1","62.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.25","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.25","96","48","95.75","47.75","orientation_locked","2","37.1","62.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0","96","48","95.5","47.5","orientation_locked","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.03125","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.03125","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.0625","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.0625","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.09375","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.09375","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.125","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.125","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.1875","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.1875","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.25","96","48","95.5","47.5","rotation_allowed","1","74.7","25.3","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.25","0.25","96","48","95.5","47.5","orientation_locked","2","37.4","62.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.03125","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.03125","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.0625","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.0625","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.09375","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.09375","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.125","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.125","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.1875","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.1875","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.25","96","48","95","47","rotation_allowed","1","75.9","24.1","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.5","0.25","96","48","95","47","orientation_locked","2","38","62","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.03125","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.03125","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.0625","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.0625","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.09375","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.09375","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.125","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.125","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.1875","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.1875","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.25","96","48","94","46","rotation_allowed","1","78.4","21.6","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","1","0.25","96","48","94","46","orientation_locked","2","39.2","60.8","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.03125","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.03125","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.0625","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.0625","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.09375","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.09375","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.125","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.125","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.1875","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.1875","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.25","96","48","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0","0.25","96","48","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.03125","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.03125","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.0625","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.0625","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.09375","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.09375","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.125","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.125","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.1875","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.1875","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.25","96","48","95.75","47.75","rotation_allowed","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","0.25","96","48","95.75","47.75","orientation_locked","1","61.3","38.7","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.03125","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.03125","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.0625","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.0625","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.09375","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.09375","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.125","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.125","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.1875","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.1875","96","48","95.5","47.5","orientation_locked","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-18","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","0.25","96","48","95.5","47.5","rotation_allowed","1","61.8","38.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
