"benchmark_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","kerf_in","orientation_mode","sheet_length_in","sheet_width_in","estimated_sheets","yield_pct","waste_pct","rejected_piece_count","source_template_url"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","rotation_allowed","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.125","orientation_locked","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.1875","rotation_allowed","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.1875","orientation_locked","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","rotation_allowed","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","0.25","orientation_locked","96","48","1","60.8","39.2","0","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.03125","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.03125","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.0625","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.0625","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.09375","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.09375","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.125","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.125","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.1875","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.1875","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.25","rotation_allowed","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","0.25","orientation_locked","96","48","1","58.3","41.7","0","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.03125","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.03125","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.0625","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.0625","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.09375","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.09375","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.125","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.125","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.1875","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.1875","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.25","rotation_allowed","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","0.25","orientation_locked","96","48","3","58.9","41.1","0","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.03125","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.03125","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.0625","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.0625","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.09375","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.09375","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.125","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.125","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.1875","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.1875","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.25","rotation_allowed","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","0.25","orientation_locked","96","48","2","59.6","40.4","0","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.03125","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.03125","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.0625","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.0625","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.09375","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.09375","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.125","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.125","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.1875","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.1875","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.25","rotation_allowed","96","48","3","67.7","32.3","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","9357","0.25","orientation_locked","96","48","4","50.8","49.2","0","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.03125","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.03125","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.0625","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.0625","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.09375","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.09375","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.125","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.125","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.1875","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.1875","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.25","rotation_allowed","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","bookshelf","Bookshelf","Storage","9","5607","5607","0.25","orientation_locked","96","48","2","60.8","39.2","0","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.03125","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.03125","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.0625","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.0625","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.09375","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.09375","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.125","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.125","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.1875","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.1875","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.25","rotation_allowed","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","cube-storage","Cube storage unit","Storage","13","4875","4875","0.25","orientation_locked","96","48","2","52.9","47.1","0","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.03125","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.03125","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.0625","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.0625","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.09375","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.09375","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.125","rotation_allowed","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
"2026-07-17","woodcuttool-maxrects-v1","mudroom-bench","Mudroom bench","Storage","7","3520.1","3520.1","0.125","orientation_locked","96","48","2","38.2","61.8","0","https://woodcuttool.com/templates/mudroom-bench-cut-list/"
